Date,Open,High,Low,Close,Adj Close,Volume
2016-08-30,218.259995,218.589996,217.350006,218.000000,202.529678,58114500
2016-08-31,217.610001,217.750000,216.470001,217.380005,201.953690,85269500
2016-09-01,217.369995,217.729996,216.029999,217.389999,201.962982,97844200
2016-09-02,218.389999,218.869995,217.699997,218.369995,202.873413,79293900
2016-09-06,218.699997,219.119995,217.860001,219.029999,203.486588,56702100
2016-09-07,218.839996,219.220001,218.300003,219.009995,203.468002,76554900
2016-09-08,218.619995,218.940002,218.149994,218.509995,203.003494,74102900
2016-09-09,216.970001,217.029999,213.250000,213.279999,198.144638,221589100
2016-09-12,212.389999,216.809998,212.309998,216.339996,200.987488,168110900
2016-09-13,214.839996,215.149994,212.500000,213.229996,198.098160,182828800
2016-09-14,213.289993,214.699997,212.500000,213.149994,198.023834,134185500
2016-09-15,212.960007,215.729996,212.750000,215.279999,200.002716,134427900
2016-09-16,213.479996,213.690002,212.570007,213.369995,199.229568,155236400
2016-09-19,214.130005,214.880005,213.029999,213.410004,199.266891,80250500
2016-09-20,214.410004,214.589996,213.380005,213.419998,199.276260,69665300
2016-09-21,214.240005,216.029999,213.440002,215.820007,201.517212,110284400
2016-09-22,217.000000,217.529999,216.710007,217.179993,202.787064,76678700
2016-09-23,216.720001,216.880005,215.880005,215.990005,201.675934,73630900
2016-09-26,215.020004,215.229996,214.009995,214.240005,200.041931,89827300
2016-09-27,214.050003,215.679993,213.619995,215.570007,201.283798,78494800
2016-09-28,215.830002,216.820007,214.710007,216.639999,202.282867,87411000
2016-09-29,216.399994,216.869995,214.039993,214.679993,200.452789,128070600
2016-09-30,215.649994,217.119995,215.360001,216.300003,201.965393,117202900
2016-10-03,215.820007,216.039993,215.039993,215.779999,201.479828,83512100
2016-10-04,215.910004,216.169998,213.990005,214.679993,200.452789,119948100
2016-10-05,215.410004,216.130005,215.330002,215.630005,201.339813,72816000
2016-10-06,215.369995,216.039993,214.740005,215.779999,201.479828,62927400
2016-10-07,216.100006,216.300003,214.190002,215.039993,200.788910,89788300
2016-10-10,216.160004,216.699997,215.990005,216.160004,201.834702,51855000
2016-10-11,215.660004,215.740005,212.580002,213.429993,199.285583,130367400
2016-10-12,213.589996,214.320007,213.009995,213.710007,199.547043,73866100
2016-10-13,212.160004,213.589996,211.210007,213.009995,198.893433,101357000
2016-10-14,214.149994,214.690002,213.029999,213.119995,198.996170,93346200
2016-10-17,213.089996,213.389999,212.169998,212.380005,198.305176,58275700
2016-10-18,214.240005,214.309998,213.270004,213.710007,199.547043,76869700
2016-10-19,214.020004,214.639999,213.600006,214.279999,200.079285,66519200
2016-10-20,213.869995,214.529999,213.110001,213.880005,199.705765,73639800
2016-10-21,213.880005,214.080002,212.759995,213.979996,199.799149,89089100
2016-10-24,215.000000,215.320007,214.479996,214.889999,200.648819,60146600
2016-10-25,214.679993,214.979996,213.979996,214.169998,199.976563,66542300
2016-10-26,213.210007,214.419998,212.929993,213.740005,199.575058,75705500
2016-10-27,214.580002,214.619995,213.080002,213.169998,199.042862,77220200
2016-10-28,213.139999,213.929993,211.710007,212.539993,198.454559,140623200
2016-10-31,212.929993,213.190002,212.360001,212.550003,198.463913,61272500
2016-11-01,212.929993,212.990005,209.600006,211.009995,197.025970,122781800
2016-11-02,210.649994,211.100006,209.229996,209.740005,195.840149,103330800
2016-11-03,209.990005,210.240005,208.460007,208.779999,194.943741,88939300
2016-11-04,208.910004,209.889999,208.380005,208.550003,194.729034,109122100
2016-11-07,208.550003,213.190002,208.550003,213.149994,199.024124,109794900
2016-11-08,212.690002,214.770004,212.380005,214.110001,199.920517,106772100
2016-11-09,212.369995,217.100006,212.339996,216.380005,202.040115,258429000
2016-11-10,217.300003,218.309998,215.220001,216.919998,202.544296,172113300
2016-11-11,216.080002,216.699997,215.320007,216.419998,202.077454,100552700
2016-11-14,217.029999,217.270004,215.720001,216.589996,202.236176,94580000
